contractid,createdat,revenue
30001,2020-10-13,81489.4900000000
30002,2020-10-10,58209.4900000000
30003,2020-10-10,79119.9900000000
30005,2020-10-17,64029.4900000000
30006,2020-10-09,58609.9900000000
30007,2020-10-07,58209.4900000000
30008,2020-10-17,83729.7900000000
30009,2020-10-21,86719.7900000000
30010,2020-10-14,83729.7900000000
30011,2020-10-22,89709.7900000000
30012,2020-10-07,73259.9900000000
30013,2020-10-07,71769.7900000000
30014,2020-10-28,45849.2900000000
30015,2020-10-06,61119.4900000000
30016,2020-10-02,73259.9900000000
30017,2020-10-29,84399.4900000000
30018,2020-10-12,55679.9900000000
30019,2020-10-01,58209.4900000000
30020,2020-10-26,81489.4900000000
30021,2020-10-28,79119.9900000000
30022,2020-10-21,86719.7900000000
30023,2020-10-15,73259.9900000000
30024,2020-10-18,62799.7900000000
30025,2020-10-04,76189.9900000000
30026,2020-10-26,74759.7900000000
30027,2020-10-21,55679.9900000000
30028,2020-10-17,76189.9900000000
30029,2020-10-01,90219.4900000000
30030,2020-10-05,84979.9900000000
30031,2020-10-22,79119.9900000000
30032,2020-10-07,78579.4900000000
30034,2020-10-09,67399.9900000000
30035,2020-10-21,62799.7900000000
30036,2020-10-17,61119.4900000000
30037,2020-10-09,84979.9900000000
30038,2020-10-18,64029.4900000000
30039,2020-10-05,78579.4900000000
30040,2020-10-08,80739.7900000000
30041,2020-10-22,81489.4900000000
30042,2020-10-01,65789.7900000000
30043,2020-10-01,80739.7900000000
30044,2020-10-15,66939.4900000000
30045,2020-10-26,64469.9900000000
30046,2020-10-21,65789.7900000000
30047,2020-10-12,64469.9900000000
30048,2020-10-12,76189.9900000000
30049,2020-10-28,66939.4900000000
30050,2020-10-12,52029.2900000000
30051,2020-10-05,79119.9900000000
30052,2020-10-07,79119.9900000000
30053,2020-10-23,74759.7900000000
30054,2020-10-14,80739.7900000000
30055,2020-10-23,76189.9900000000
30056,2020-10-26,73259.9900000000
30057,2020-10-09,77749.7900000000
30058,2020-10-04,77749.7900000000
30059,2020-10-07,62799.7900000000
30060,2020-10-18,58609.9900000000
30061,2020-10-10,61539.9900000000
30062,2020-10-26,78579.4900000000
30063,2020-10-01,76189.9900000000
30065,2020-10-19,65789.7900000000
30066,2020-10-04,64469.9900000000
30067,2020-10-21,56819.7900000000
30068,2020-10-30,77749.7900000000
30069,2020-10-01,87309.4900000000
30070,2020-10-26,80739.7900000000
30071,2020-10-04,62799.7900000000
30072,2020-10-05,62799.7900000000
30073,2020-10-02,73259.9900000000
30074,2020-10-28,84979.9900000000
30075,2020-10-17,61119.4900000000
30076,2020-10-01,79119.9900000000
30077,2020-10-26,61119.4900000000
30078,2020-10-16,73259.9900000000
30079,2020-10-27,72759.4900000000
30080,2020-10-20,64469.9900000000
30081,2020-10-19,81489.4900000000
30082,2020-10-24,77749.7900000000
30083,2020-10-15,80739.7900000000
30084,2020-10-27,64029.4900000000
30085,2020-10-06,74759.7900000000
30086,2020-10-24,64029.4900000000
30087,2020-10-08,68779.7900000000
30088,2020-10-23,75669.4900000000
30089,2020-10-08,69849.4900000000
30090,2020-10-31,70329.9900000000
30091,2020-10-26,72759.4900000000
30092,2020-10-31,67399.9900000000
30093,2020-10-22,76189.9900000000
30094,2020-10-30,65789.7900000000
30096,2020-10-30,76189.9900000000
30097,2020-10-03,73259.9900000000
30098,2020-10-30,72759.4900000000
30099,2020-10-12,83729.7900000000
30100,2020-10-11,81489.4900000000
30101,2020-10-07,84399.4900000000
30103,2020-10-28,73259.9900000000
30104,2020-10-11,86719.7900000000
30106,2020-10-13,54089.2900000000
30107,2020-10-29,43274.2900000000
30108,2020-10-31,69849.4900000000
30109,2020-10-03,61119.4900000000
30110,2020-10-29,62799.7900000000
30111,2020-10-27,65789.7900000000
30112,2020-10-10,66939.4900000000
30113,2020-10-15,64029.4900000000
30114,2020-10-09,84979.9900000000
30115,2020-10-05,74759.7900000000
30116,2020-10-12,67399.9900000000
30117,2020-10-08,77749.7900000000
30119,2020-10-09,78579.4900000000
30121,2020-10-08,80739.7900000000
30122,2020-10-28,82049.9900000000
30123,2020-10-01,87909.9900000000
30124,2020-10-18,83729.7900000000
30125,2020-10-07,93129.4900000000
30126,2020-10-28,65789.7900000000
30127,2020-10-15,59809.7900000000
30128,2020-10-25,78579.4900000000
30129,2020-10-16,64029.4900000000
30130,2020-10-21,75669.4900000000
30131,2020-10-03,65789.7900000000
30132,2020-10-26,64029.4900000000
30133,2020-10-27,86719.7900000000
30134,2020-10-31,72759.4900000000
30135,2020-10-20,67399.9900000000
30136,2020-10-09,61119.4900000000
30137,2020-10-19,66939.4900000000
30138,2020-10-29,64029.4900000000
30139,2020-10-06,71769.7900000000
30140,2020-10-14,66939.4900000000
30141,2020-10-02,73259.9900000000
30142,2020-10-12,68779.7900000000
30143,2020-10-28,86719.7900000000
30144,2020-10-15,64029.4900000000
30145,2020-10-10,82049.9900000000
30146,2020-10-16,87309.4900000000
30147,2020-10-23,74759.7900000000
30148,2020-10-16,82049.9900000000
30149,2020-10-17,68779.7900000000
30150,2020-10-25,62799.7900000000
30151,2020-10-30,72759.4900000000
30152,2020-10-27,82049.9900000000
30153,2020-10-19,58209.4900000000
30154,2020-10-17,66939.4900000000
30155,2020-10-03,80739.7900000000
30156,2020-10-23,72759.4900000000
30157,2020-10-13,61539.9900000000
30158,2020-10-04,84979.9900000000
30160,2020-10-21,67399.9900000000
30161,2020-10-20,71769.7900000000
30162,2020-10-18,71769.7900000000
30163,2020-10-12,78579.4900000000
30168,2020-10-03,65789.7900000000
30169,2020-10-09,74759.7900000000
30170,2020-10-21,66939.4900000000
30171,2020-10-31,72759.4900000000
30172,2020-10-16,69849.4900000000
30173,2020-10-13,80739.7900000000
30174,2020-10-03,81489.4900000000
30175,2020-10-30,50999.2900000000
30176,2020-10-03,82049.9900000000
30177,2020-10-06,77749.7900000000
30178,2020-10-18,64469.9900000000
30179,2020-10-03,45849.2900000000
30180,2020-10-03,79119.9900000000
30181,2020-10-13,83729.7900000000
30182,2020-10-03,68779.7900000000
30183,2020-10-04,74759.7900000000
30184,2020-10-23,58724.2900000000
30186,2020-10-03,62799.7900000000
30187,2020-10-29,59809.7900000000
30188,2020-10-21,71769.7900000000
30189,2020-10-06,59809.7900000000
30190,2020-10-05,62799.7900000000
30191,2020-10-22,75669.4900000000
30192,2020-10-02,82049.9900000000
30193,2020-10-12,64469.9900000000
30194,2020-10-05,70329.9900000000
30195,2020-10-14,81489.4900000000
30196,2020-10-10,72759.4900000000
30197,2020-10-04,61539.9900000000
30199,2020-10-10,47394.2900000000
30200,2020-10-16,84979.9900000000
30201,2020-10-15,68779.7900000000
30202,2020-10-09,64469.9900000000
30203,2020-10-21,66939.4900000000
30204,2020-10-11,77749.7900000000
30205,2020-10-04,59809.7900000000
30206,2020-10-12,81489.4900000000
30208,2020-10-24,76189.9900000000
30209,2020-10-10,61539.9900000000
30210,2020-10-19,65789.7900000000
30211,2020-10-13,66939.4900000000
30212,2020-10-25,66939.4900000000
30213,2020-10-02,67399.9900000000
30214,2020-10-24,80739.7900000000
30215,2020-10-26,41729.2900000000
30216,2020-10-15,69849.4900000000
30217,2020-10-26,67399.9900000000
30218,2020-10-25,58609.9900000000
30219,2020-10-07,64029.4900000000
30220,2020-10-05,86719.7900000000
30221,2020-10-20,64029.4900000000
30222,2020-10-06,75669.4900000000
30223,2020-10-30,62799.7900000000
30224,2020-10-13,62799.7900000000
30225,2020-10-11,66939.4900000000
30226,2020-10-13,70329.9900000000
30227,2020-10-13,82049.9900000000
30228,2020-10-07,74759.7900000000
30229,2020-10-20,62799.7900000000
30230,2020-10-31,66939.4900000000
30231,2020-10-04,62799.7900000000
30232,2020-10-03,74759.7900000000
30233,2020-10-22,64029.4900000000
30234,2020-10-20,61539.9900000000
30235,2020-10-04,79119.9900000000
30236,2020-10-11,82049.9900000000
30238,2020-10-04,43789.2900000000
30239,2020-10-09,64469.9900000000
30240,2020-10-26,69849.4900000000
30241,2020-10-08,84979.9900000000
30242,2020-10-02,62799.7900000000
30243,2020-10-10,56664.2900000000
30244,2020-10-07,58609.9900000000
30245,2020-10-04,54604.2900000000
30246,2020-10-18,61119.4900000000
30247,2020-10-01,84979.9900000000
30248,2020-10-20,67399.9900000000
30249,2020-10-05,43789.2900000000
30251,2020-10-24,70329.9900000000
30252,2020-10-26,68779.7900000000
30253,2020-10-23,81489.4900000000
30254,2020-10-12,72759.4900000000
30255,2020-10-12,66939.4900000000
30256,2020-10-13,72759.4900000000
30257,2020-10-03,58209.2900000000
30258,2020-10-21,65789.7900000000
30260,2020-10-08,61119.4900000000
30262,2020-10-20,71769.7900000000
30263,2020-10-16,65789.7900000000
30264,2020-10-16,70329.9900000000
30265,2020-10-21,82049.9900000000
30266,2020-10-21,75669.4900000000
30267,2020-10-23,62799.7900000000
30268,2020-10-10,61119.4900000000
30269,2020-10-05,68779.7900000000
30270,2020-10-08,83729.7900000000
30271,2020-10-12,79119.9900000000
30272,2020-10-11,84979.9900000000
30273,2020-10-26,84399.4900000000
30274,2020-10-21,61539.9900000000
30275,2020-10-03,78579.4900000000
30276,2020-10-16,80739.7900000000
30277,2020-10-08,75669.4900000000
30278,2020-10-22,73259.9900000000
30280,2020-10-11,82049.9900000000
30281,2020-10-02,75669.4900000000
30282,2020-10-23,68779.7900000000
30283,2020-10-07,87909.9900000000
30284,2020-10-09,64469.9900000000
30285,2020-10-01,55299.4900000000
30286,2020-10-31,84979.9900000000
30287,2020-10-03,70329.9900000000
30288,2020-10-29,71769.7900000000
30289,2020-10-05,79119.9900000000
30290,2020-10-05,67399.9900000000
30291,2020-10-17,64029.4900000000
30293,2020-10-29,82049.9900000000
30294,2020-10-11,61539.9900000000
30295,2020-10-13,67399.9900000000
30296,2020-10-07,69849.4900000000
30297,2020-10-21,81489.4900000000
30298,2020-10-20,65789.7900000000
30300,2020-10-15,64469.9900000000
30301,2020-10-27,70329.9900000000
30302,2020-10-27,56664.2900000000
30303,2020-10-16,76189.9900000000
30304,2020-10-11,68779.7900000000
30305,2020-10-19,77749.7900000000
30306,2020-10-19,66939.4900000000
30307,2020-10-09,67399.9900000000
30308,2020-10-26,84399.4900000000
30310,2020-10-19,74759.7900000000
30311,2020-10-30,52544.2900000000
30312,2020-10-18,58209.4900000000
30313,2020-10-22,81489.4900000000
30314,2020-10-14,73259.9900000000
30315,2020-10-20,84399.4900000000
30316,2020-10-29,86719.7900000000
30317,2020-10-06,64029.4900000000
30319,2020-10-19,66939.4900000000
30320,2020-10-09,79119.9900000000
30321,2020-10-29,61539.9900000000
30323,2020-10-30,73259.9900000000
30324,2020-10-19,76189.9900000000
30325,2020-10-15,72759.4900000000
30326,2020-10-27,58209.4900000000
30328,2020-10-18,71769.7900000000
30330,2020-10-06,59809.7900000000
30331,2020-10-10,56819.7900000000
30332,2020-10-26,84399.4900000000
30333,2020-10-24,84979.9900000000
30334,2020-10-01,79119.9900000000
30335,2020-10-30,60784.2900000000
30336,2020-10-19,65789.7900000000
30337,2020-10-10,52029.2900000000
30338,2020-10-08,59809.7900000000
30339,2020-10-29,61119.4900000000
30340,2020-10-05,58209.2900000000
30341,2020-10-19,78579.4900000000
30342,2020-10-04,80739.7900000000
30343,2020-10-16,68779.7900000000
30344,2020-10-01,43789.2900000000
30345,2020-10-07,66939.4900000000
30346,2020-10-26,55299.4900000000
30348,2020-10-12,64469.9900000000
30349,2020-10-22,75669.4900000000
30350,2020-10-22,64029.4900000000
30352,2020-10-04,61539.9900000000
