createdat,productname,consumption,revenue
2018-01-01,ÖkoGas 1,28200,145272.8700000000
2018-01-01,ÖkoStrom 1,22400,669848.1100000000
2018-01-01,ÖkoStrom 2,9800,287179.9600000000
2018-01-01,ÖkoStrom 3,17400,506406.4300000000
2018-01-02,ÖkoGas 1,11500,59239.2900000000
2018-01-02,ÖkoStrom 1,10699,319939.2600000000
2018-01-02,ÖkoStrom 2,12400,363369.9500000000
2018-01-02,ÖkoStrom 3,14600,424916.9400000000
2018-01-03,ÖkoGas 1,21000,108178.5800000000
2018-01-03,ÖkoStrom 1,14200,424638.7400000000
2018-01-03,ÖkoStrom 2,9800,287179.9600000000
2018-01-03,ÖkoStrom 3,6900,200818.4700000000
2018-01-04,ÖkoGas 1,37600,193697.1600000000
2018-01-04,ÖkoStrom 1,10200,305019.1600000000
2018-01-04,ÖkoStrom 2,17700,518679.9300000000
2018-01-04,ÖkoStrom 3,14600,424916.9400000000
2018-01-05,ÖkoGas 1,16800,86548.5800000000
2018-01-05,ÖkoStrom 1,17800,532288.5300000000
2018-01-05,ÖkoStrom 2,17700,518679.9300000000
2018-01-05,ÖkoStrom 3,17100,497676.4300000000
2018-01-06,ÖkoGas 1,8800,45334.2900000000
2018-01-06,ÖkoStrom 1,13800,412678.7400000000
2018-01-06,ÖkoStrom 2,9300,272529.9600000000
2018-01-06,ÖkoStrom 3,17000,494766.4300000000
2018-01-07,ÖkoGas 1,19500,100453.5800000000
2018-01-07,ÖkoStrom 1,11700,349878.9500000000
2018-01-07,ÖkoStrom 2,12700,372159.9500000000
2018-01-07,ÖkoStrom 3,15600,454016.9400000000
2018-01-08,ÖkoGas 1,11500,59239.2900000000
2018-01-08,ÖkoStrom 1,13800,412678.7400000000
2018-01-08,ÖkoStrom 2,15000,439559.9400000000
2018-01-08,ÖkoStrom 3,17100,497676.4300000000
2018-01-09,ÖkoGas 1,8800,45334.2900000000
2018-01-09,ÖkoStrom 1,19206,574327.9300000000
2018-01-09,ÖkoStrom 2,17900,524539.9300000000
2018-01-09,ÖkoStrom 3,12500,363797.4500000000
2018-01-10,ÖkoGas 1,32400,166902.8700000000
2018-01-10,ÖkoStrom 1,15200,454538.7400000000
2018-01-10,ÖkoStrom 2,18000,527469.9300000000
2018-01-10,ÖkoStrom 3,16700,486036.4300000000
2018-01-11,ÖkoStrom 1,12499,373769.0500000000
2018-01-11,ÖkoStrom 2,20800,609519.9200000000
2018-01-11,ÖkoStrom 3,15400,448196.9400000000
2018-01-12,ÖkoGas 1,22200,114358.5800000000
2018-01-12,ÖkoStrom 1,19900,595088.3200000000
2018-01-12,ÖkoStrom 2,17300,506959.9300000000
2018-01-12,ÖkoStrom 3,15000,436556.9400000000
2018-01-13,ÖkoGas 1,9700,49969.2900000000
2018-01-13,ÖkoStrom 1,14600,436598.7400000000
2018-01-13,ÖkoStrom 2,7800,228569.9700000000
2018-01-13,ÖkoStrom 3,17000,494766.4300000000
2018-01-14,ÖkoGas 1,36100,185972.1600000000
2018-01-14,ÖkoStrom 1,13900,415668.7400000000
2018-01-14,ÖkoStrom 2,13100,383879.9500000000
2018-01-14,ÖkoStrom 3,11400,331787.4500000000
2018-01-15,ÖkoGas 1,39500,203482.1600000000
2018-01-15,ÖkoStrom 1,17885,534830.0300000000
2018-01-15,ÖkoStrom 2,17100,501099.9300000000
2018-01-15,ÖkoStrom 3,7400,215368.4700000000
2018-01-16,ÖkoGas 1,40300,207602.1600000000
2018-01-16,ÖkoStrom 1,14900,445568.7400000000
2018-01-16,ÖkoStrom 2,9600,281319.9600000000
2018-01-16,ÖkoStrom 3,14900,433646.9400000000
2018-01-17,ÖkoGas 1,9700,49969.2900000000
2018-01-17,ÖkoStrom 1,12500,373798.9500000000
2018-01-17,ÖkoStrom 2,12100,354579.9500000000
2018-01-17,ÖkoStrom 3,9900,288127.9600000000
2018-01-18,ÖkoGas 1,19300,99423.5800000000
2018-01-18,ÖkoStrom 1,12000,358848.9500000000
2018-01-18,ÖkoStrom 2,17000,498169.9300000000
2018-01-18,ÖkoStrom 3,7200,209548.4700000000
2018-01-19,ÖkoStrom 1,19600,586118.3200000000
2018-01-19,ÖkoStrom 2,16000,468869.9300000000
